Country/Territory,IMF[1][12],IMF[1][12],World Bank[13],World Bank[13],United Nations[14],United Nations[14]
Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
French Polynesia,—,—,5815,2022,6398,2023
Burundi,6745,2025,2642,2023,3960,2023
Fiji,6257,2025,5495,2023,5442,2023
Eswatini,5483,2025,4598,2023,4574,2023
Liberia,5166,2025,4332,2023,5039,2023
Djibouti,4587,2025,4099,2023,4000,2023
Suriname,4506,2025,3782,2023,3759,2023
Aruba,4100,2025,3545,2022,3649,2023
Andorra,4035,2025,3728,2023,3785,2023
South Sudan,3998,2025,—,—,4629,2023
Curaçao,—,—,3074,2022,3281,2023
Belize,3611,2025,3282,2023,3079,2023
Greenland,—,—,3236,2021,3041,2023
Bhutan,3422,2025,2898,2022,3019,2023
Central African Republic,2932,2025,2555,2023,2555,2023
Cape Verde,2786,2025,2587,2023,2591,2023
Zanzibar,—,—,—,—,2483,2023
Gambia,2771,2025,2340,2023,2401,2023
Saint Lucia,2632,2025,2520,2023,2430,2023
Eritrea,—,—,—,—,2275,2023
Lesotho,2404,2025,2046,2023,2118,2023
Antigua and Barbuda,2373,2025,2033,2023,2033,2023
Guinea-Bissau,2274,2025,1966,2023,1841,2023
Seychelles,2198,2025,2141,2023,2141,2023
Timor-Leste,2115,2025,2243,2023,2080,2023
San Marino,2047,2025,1855,2021,1987,2023
Sint Maarten,—,—,1623,2023,1677,2023
Solomon Islands,1707,2025,1631,2023,1633,2023
British Virgin Islands,—,—,—,—,1506,2023
Comoros,1548,2025,1352,2023,1448,2023
Turks and Caicos Islands,—,—,1402,2023,1402,2023
Grenada,1464,2025,1320,2023,1317,2023
Vanuatu,1267,2025,1126,2023,1119,2023
Saint Vincent and the Grenadines,1242,2025,1066,2023,1091,2023
Samoa,1160,2025,934,2023,1032,2023
Saint Kitts and Nevis,1129,2025,1077,2023,1058,2023
São Tomé and Príncipe,864,2025,603,2023,684,2023
Dominica,742,2025,654,2023,651,2023
Tonga,568,2025,500,2022,508,2023
Micronesia,500,2025,460,2023,460,2023
Anguilla,—,—,—,—,416,2023
Cook Islands,—,—,—,—,366,2023
Palau,333,2025,263,2023,282,2023
Kiribati,312,2025,279,2023,289,2023
Marshall Islands,297,2025,284,2023,270,2023
Nauru,169,2025,154,2023,176,2023
Montserrat,—,—,—,—,80,2023
Tuvalu,65,2025,62,2023,68,2023
